id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq,u_lwage,lwage_hat,u_educ
2.0,0.0,0.0,7.0,29.0,,,158413.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,548.0,0.0,15.0,,1.0,0.0,16.0,6.306275,256.0,0.19804671,6.108228,-3.0675387
3.0,0.0,0.0,12.0,27.0,8.0,8.0,380166.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,481.0,0.0,35.0,93.0,1.0,1.0,9.0,6.175867,81.0,-0.21116027,6.3870273,-1.7275618
4.0,0.0,0.0,12.0,34.0,14.0,12.0,367470.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,721.0,0.0,42.0,103.0,1.0,1.0,16.0,6.580639,256.0,0.20471902,6.37592,1.0129755
5.0,1.0,1.0,11.0,27.0,11.0,12.0,380166.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,250.0,0.0,25.0,88.0,1.0,1.0,10.0,5.521461,100.0,-0.9679052,6.489366,-2.2535365
6.0,1.0,1.0,12.0,34.0,8.0,7.0,367470.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,729.0,0.0,34.0,108.0,1.0,0.0,16.0,6.591674,256.0,0.1251727,6.466501,1.0904368
7.0,1.0,1.0,12.0,26.0,9.0,12.0,380166.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,500.0,0.0,38.0,85.0,1.0,1.0,8.0,6.214608,64.0,-0.2467947,6.461403,-2.0483506
8.0,1.0,1.0,18.0,33.0,14.0,14.0,367470.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,565.0,0.0,41.0,119.0,1.0,1.0,9.0,6.336826,81.0,-0.14078279,6.4776087,4.3499
9.0,1.0,1.0,14.0,29.0,14.0,14.0,496635.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,608.0,0.0,46.0,108.0,1.0,1.0,9.0,6.410175,81.0,-0.06743379,6.4776087,0.34989956
10.0,1.0,1.0,12.0,28.0,12.0,12.0,367772.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,425.0,0.0,32.0,96.0,4.0,0.0,10.0,6.052089,100.0,-0.43727705,6.489366,-1.2535365
11.0,1.0,1.0,12.0,29.0,12.0,12.0,480445.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,515.0,0.0,34.0,97.0,1.0,1.0,11.0,6.244167,121.0,-0.25250888,6.496676,-0.8586588
