id,session,age,age_cl,appearance_cl,bmi,schooling,asq_cl,provider_second,asian_cl,black_cl,hispanic_cl,othrace_cl,reg,hot,massage_cl,lnw,llength,unsafe,asian,black,hispanic,other,white,asq,cohab,married,divorced,separated,nevermarried,widowed
243.0,2,27,30.0,5,,11.0,900.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.7080503,0.0,0,1,0,0,0,729.0,1,0,0,0,0,0
397.0,4,28,56.0,5,28.971931,16.0,3136.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.521461,4.787492,1.0,0,0,0,0,1,784.0,0,1,0,0,0,0
598.0,4,50,52.0,6,21.453857,16.0,2704.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.2983174,5.192957,1.0,0,0,0,0,1,2500.0,0,0,1,0,0,0
28.0,1,41,72.0,5,24.02832,12.0,5184.0,1,0.0,0.0,0.0,0.0,1.0,,1.0,5.926926,3.6888795,1.0,0,0,0,0,1,1681.0,0,0,1,0,0,0
28.0,4,41,46.0,8,24.02832,12.0,2116.0,1,0.0,0.0,0.0,0.0,0.0,,1.0,5.115996,4.4998097,1.0,0,0,0,0,1,1681.0,0,0,1,0,0,0
280.0,1,37,45.0,5,23.625288,14.0,2025.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0322866,5.192957,1.0,0,0,0,0,1,1369.0,0,0,0,0,1,0
354.0,2,39,55.0,5,25.537552,16.0,3025.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.521461,3.4011974,1.0,0,0,0,0,1,1521.0,1,0,0,0,0,0
373.0,3,47,44.0,8,28.242653,16.0,1936.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.9914646,4.0943446,0.0,0,0,0,0,1,2209.0,0,0,0,0,1,0
281.0,4,41,43.0,10,24.207989,14.0,1849.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.857933,4.787492,1.0,0,0,0,0,1,1681.0,1,0,0,0,0,0
334.0,3,45,48.0,8,19.13491,14.0,2304.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8928523,5.192957,0.0,0,0,0,0,1,2025.0,0,0,0,0,1,0
592.0,2,45,36.0,7,21.96875,14.0,1296.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.2839284,4.9416423,1.0,0,0,0,0,1,2025.0,1,0,0,0,0,0
366.0,3,47,,8,23.294674,14.0,,1,,,,,1.0,0.0,0.0,6.263398,3.6888795,0.0,0,0,0,0,1,2209.0,0,0,1,0,0,0
444.0,1,41,35.0,8,29.754957,14.0,1225.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.684612,2.7080503,0.0,0,0,0,0,1,1681.0,0,0,1,0,0,0
390.0,2,47,62.5,7,21.284601,12.0,3906.25,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.3969297,4.0943446,0.0,0,0,0,0,1,2209.0,0,0,1,0,0,0
605.0,2,42,40.0,6,20.068338,16.0,1600.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.192957,4.0943446,0.0,0,0,0,1,0,1764.0,0,0,0,0,1,0
584.0,2,28,40.0,2,20.504168,14.0,1600.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.36731,4.248495,1.0,1,0,0,0,0,784.0,0,0,0,0,1,0
349.0,4,38,40.0,4,27.121914,14.0,1600.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.075174,4.0943446,1.0,0,0,0,0,1,1444.0,0,0,0,0,1,0
394.0,4,49,44.0,7,30.893555,16.0,1936.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.9416423,4.0943446,1.0,0,0,0,0,1,2401.0,0,0,1,0,0,0
123.0,1,27,35.0,7,19.043617,16.0,1225.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5859995,4.4998097,1.0,0,0,0,1,0,729.0,0,0,1,0,0,0
630.0,4,33,40.0,4,25.821856,14.0,1600.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.8928523,5.192957,1.0,0,0,0,0,1,1089.0,0,1,0,0,0,0
337.0,3,41,62.0,6,22.271349,16.0,3844.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.7593207,5.192957,0.0,0,0,0,0,1,1681.0,1,0,0,0,0,0
349.0,2,38,35.0,4,27.121914,14.0,1225.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.2983174,4.317488,1.0,0,0,0,0,1,1444.0,0,0,0,0,1,0
329.0,4,43,45.0,7,19.195547,12.0,2025.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.173786,3.912023,1.0,0,0,0,0,1,1849.0,0,0,0,0,1,0
340.0,1,37,60.0,3,18.597883,14.0,3600.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.4228487,8.658692,1.0,0,0,0,0,1,1369.0,0,0,1,0,0,0
514.0,4,46,45.0,6,23.025951,14.0,2025.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.809143,3.8066626,0.0,0,0,0,0,1,2116.0,0,0,1,0,0,0
246.0,3,33,45.0,8,25.085424,11.0,2025.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2983174,4.787492,0.0,0,1,0,0,0,1089.0,0,0,0,0,1,0
593.0,4,40,55.0,5,20.657484,12.0,3025.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.787492,4.4998097,0.0,0,0,0,0,1,1600.0,0,0,0,0,1,0
356.0,1,46,45.0,3,,14.0,2025.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.521461,4.0943446,1.0,0,0,0,0,1,2116.0,0,0,1,0,0,0
424.0,2,38,42.0,6,22.961893,14.0,1764.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.480639,3.4011974,1.0,0,0,0,0,1,1444.0,1,0,0,0,0,0
393.0,1,30,50.0,8,19.202654,16.0,2500.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.115996,4.4998097,1.0,0,0,0,0,1,900.0,0,0,0,0,1,0
283.0,2,39,45.0,7,26.57845,14.0,2025.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.521461,4.0943446,1.0,0,0,0,0,1,1521.0,0,0,0,0,1,0
361.0,3,32,33.0,4,25.821856,16.0,1089.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0255384,2.7725887,0.0,0,0,0,0,1,1024.0,0,1,0,0,0,0
395.0,2,33,41.0,4,24.363579,14.0,1681.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.242779,3.5553482,1.0,0,0,0,0,1,1089.0,0,0,0,1,0,0
341.0,2,33,45.0,3,21.924706,12.0,2025.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2983174,4.0943446,0.0,0,0,0,0,1,1089.0,0,0,1,0,0,0
349.0,3,38,32.0,8,27.121914,14.0,1024.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.1357985,4.0943446,1.0,0,0,0,0,1,1444.0,0,0,0,0,1,0
