name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-3897.3,0.0254838,1.20098,-3899.64,-3896.98,-3896,2220.96,1030.13,1.00096
"accept_stat__",0.907127,0.00152331,0.10765,0.689336,0.94631,1,4994.04,2316.35,1.0055
"stepsize__",0.818806,0.0389474,0.0551628,0.723698,0.849641,0.85825,2.00602,0.930435,1.95975e+13
"treedepth__",2.1715,0.063397,0.510052,1,2,3,64.7278,30.0222,1.02533
"n_leapfrog__",4.353,0.157669,1.96936,3,3,7,156.011,72.3613,1.0147
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",3898.79,0.0401842,1.70842,3896.62,3898.48,3901.98,1807.5,838.358,1.00138
"a_hat",3.24084,0.0137877,0.89132,1.78953,3.24237,4.71764,4179.14,1938.37,1.00004
"b_hat",4.78858,0.00740641,0.455533,4.0246,4.79338,5.52405,3782.89,1754.59,0.999532
"sigma_hat",28.7429,0.00948085,0.620301,27.7639,28.7355,29.8067,4280.66,1985.46,0.999582
"mu[1]",-2.2,0.016,1.0,-3.9,-2.2,-0.57,4158,1929,1.0
"mu[2]",-6.7,0.020,1.3,-8.8,-6.7,-4.6,4054,1880,1.00
"mu[3]",3.8,0.014,0.90,2.4,3.8,5.3,4171,1935,1.0
"mu[4]",11,0.018,1.2,8.7,11,13,3996,1853,1.00
"mu[5]",12,0.020,1.2,9.8,12,14,3965,1839,1.00
"mu[6]",-15,0.031,1.9,-18,-15,-12,3921,1819,1.00
"mu[7]",7.2,0.015,0.99,5.5,7.2,8.8,4105,1904,1.00
"mu[8]",-5.8,0.019,1.2,-7.8,-5.8,-3.8,4075,1890,1.00
"mu[9]",15,0.024,1.5,13,15,18,3907,1812,1.00
"mu[10]",7.9,0.016,1.0,6.2,7.9,9.5,4081,1893,1.00
"mu[11]",-3.3,0.017,1.1,-5.1,-3.3,-1.6,4105,1904,1.0
"mu[12]",14,0.022,1.4,11,14,16,3929,1822,1.00
"mu[13]",5.9,0.015,0.94,4.3,5.9,7.4,4134,1918,1.00
"mu[14]",2.8,0.014,0.89,1.4,2.8,4.3,4184,1940,1.0
"mu[15]",4.5,0.014,0.91,3.0,4.5,6.0,4160,1930,1.00
